[2023-08-01 22:41:52.873] [MAIN] [info] ------------------------------------------
[2023-08-01 22:41:52.873] [MAIN] [info] Starting Run

[2023-08-01 22:41:52.874] [MIDI] [info] ENTER constructor
[2023-08-01 22:41:52.875] [MIDI] [info] Parsed MIDI file:
  total duration = 0.5s
  tiks_per_qnote = 960
   bpm: 120
   tick duration: 0.0005208333333333333
[2023-08-01 22:41:52.875] [MIDI] [info] EXIT constructor
[2023-08-01 22:41:52.875] [SYNTHPLE] [debug] Constructed Synthple obj.
     Buffer duration: 0
[2023-08-01 22:41:52.875] [SYNTHPLE] [debug] run(), Starting.
[2023-08-01 22:41:52.875] [AUDIO THREAD] [debug] built audio thread
[2023-08-01 22:41:52.875] [AUDIO THREAD] [debug] run()
[2023-08-01 22:41:52.875] [AUDIO THREAD] [debug] run()
[2023-08-01 22:41:52.903] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:52.903] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:52.941] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:52.941] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:52.979] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:52.979] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.017] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.017] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.055] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.055] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.094] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.094] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.132] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.132] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.170] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.170] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.206] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.208] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.244] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.246] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.279] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.284] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.317] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.322] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.355] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.359] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.393] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.393] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.427] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.428] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.465] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.465] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.502] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.503] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.540] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.541] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.578] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.579] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.616] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.616] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.654] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.654] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.692] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.692] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.730] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.730] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.768] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.768] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.806] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.806] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.842] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.844] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.880] [AUDIO THREAD] [debug] run(): ping
[2023-08-01 22:41:53.880] [AUDIO THREAD] [debug] run(): ping
